word,reading,meanings,level,example_ja,example_en
原因,げんいん,cause; source,N4,何が原因ですか。,What's the cause?
厳しい,きびしい,strict,N4,世間は厳しい。,The world is harsh.
故障,こしょうする,to break-down,N4,テレビが故障した。,My TV has broken down.
湖,みずうみ,lake,N4,この湖は深い。,This lake is deep.
御主人,ごしゅじん,(honorable) your husband,N4,,
交通,こうつう,traffic; transportation,N4,交通量は少なかった。,Traffic was light.
光,ひかり,light,N4,身に余る栄光。,The honor you are giving me is more than I deserve.
光る,ひかる,to shine; to glitter,N4,使っている鎌は光る。,A sickle that gets used shines.
公務員,こうむいん,government worker,N4,私は公務員です。,I'm a government worker.
向かう,むかう,to face,N4,女は悪魔の宴へと向かう。,She rides to the black sabbath.
工業,こうぎょう,the manufacturing industry,N4,工業都市です。,It's an industrial city.
工場,こうじょう,factory,N4,彼らは工場で働いた。,They labored in the factories.
校長,こうちょう,headmaster,N4,彼は校長が嫌いだ。,He dislikes the principal.
港,みなと,harbour,N4,空港まで行く。,I'm going as far as the airport.
考える,かんがえる,to consider,N4,なぜそう考えるの？,What makes you think so?
行う,おこなう,to do,N4,言うは易く行うは難し。,It's easier said than done.
講義,こうぎ,lecture,N4,文学の講義をする。,I will lecture on literature.
講堂,こうどう,auditorium,N4,その教師は講堂に学生を集めた。,The teacher assembled the students in the hall.
郊外,こうがい,outskirts,N4,私の家は郊外にある。,My house is in the suburbs.
降り出す,ふりだす,to start to rain,N4,まもなく雪が降り出すだろう。,It will begin snowing before long.
高校,こうこう,high school,N4,高校生なの？,Are you a high school student?
高校生,こうこうせい,high school student,N4,高校生なの？,Are you a high school student?
高等学校,こうとうがっこう,high school,N4,彼は高等学校の生徒ではありません。,He is not a high school student.
合う,あう,to match,N4,黒が似合うね。,You look good in black.
国際,こくさい,international,N4,国際語は必要ですか？,Do we need a universal language?
込む,こむ,to be crowded,N4,綿は水を吸い込む。,Cotton sucks up water.
今度,こんど,now; next time,N4,また、今度な！,Maybe next time!
今夜,こんや,tonight,N4,今夜会える？,Can you meet tonight?
差し上げる,さしあげる,(polite) to give,N4,突然にかような奇怪な手紙を差し上げる非礼をお許し下さい。,Please forgive my impoliteness in sending you suddenly such a strange letter.
砂,すな,sand,N4,砂糖がない。,We have no sugar.
最近,さいきん,latest; nowadays,N4,最近どうだ？,How have you been recently?
最後,さいご,last; end,N4,それで最後だ！,That's the last straw!
最初,さいしょ,beginning; first,N4,彼が最初に来た。,He was the first to come.
妻,つま,(humble) wife,N4,妻が怖くて。,I'm afraid of my wife.
済む,すむ,to finish,N4,気が済むまでやってみたら。,You should continue until you're satisfied.
細かい,こまかい,small; fine,N4,私は細かいんだ。,I'm fussy.
坂,さか,slope; hill,N4,その坂道を下ろう。,Let's descend the slope.
参る,まいる,(humble) to go; to come,N4,君には参るよ。,You got me!
産業,さんぎょう,industry,N4,日本は産業国である。,Japan is an industrial country.
残る,のこる,to remain,N4,この曲、耳に残るね。,This song is catchy.
残念,ざんねん,disappointment,N4,残念ですが。,That's too bad.
仕方,しかた,method,N4,仕方がないよ。,It can't be helped.
始める,はじめる,to begin,N4,新たに始める。,I will begin anew.
子,こ,child,N4,花より団子。,A loaf of bread is better than the songs of birds.
市,し,city,N4,市場に行く。,I will go to the market.
市民,しみん,citizen,N4,私は札幌市民です。,I am a citizen of Sapporo.
思い出す,おもいだす,to remember,N4,最初のころを思い出す。,I remember the first time.
思う,おもう,to think; to feel,N4,誰だと思う？,Guess who?
指,ゆび,finger,N4,指を開いて。,Spread your fingers.
指輪,ゆびわ,finger ring,N4,指輪がない。,My ring is gone.
支度,したくする,to prepare,N4,冬支度は万端です！,Winter preparations are all complete.
枝,えだ,branch; twig,N4,枝を折るな。,Don't break the branches.
止む,やむ,to stop,N4,雨は止む兆しが無い。,The rain shows no sign of stopping.
止める,とめる,to stop something,N4,あなたを止める。,I will stop you.
糸,いと,thread,N4,糸が絡まった。,The threads got tangled.
試験,しけん,examination,N4,来週は試験だ。,The exam is coming up next week.
試合,しあい,match; game,N4,その試合見た？,Did you watch the game?
歯医者,はいしゃ,dentist,N4,彼は歯医者に行った。,He went to the dentist.
事故,じこ,accident,N4,事故があった。,There's been an accident.
事務所,じむしょ,office,N4,事務所にいます。,I'm in my office.
似る,にる,to be similar,N4,息子は父親に似る。,"Like father, like son."
字,じ,character,N4,商売は赤字だ。,The business is in the red.
寺,てら,temple,N4,寺の隣に鬼が住む。,The devil lurks behind the cross.
時代,じだい,era,N4,彼の服は時代遅れだ。,His clothes are out of fashion.
治る,なおる,to be cured; to heal,N4,早く治るといいですね。,I hope you'll recover quickly.
自由,じゆう,freedom,N4,自由の身ね。,You're a free man.
辞典,じてん,dictionary,N4,トムは中日辞典を買った。,Tom bought a Chinese-Japanese dictionary.
失敗,しっぱい,failure; mistake,N4,失敗するよ。,You will fail.
写す,うつす,to copy or photograph,N4,彼女は友達のノートを写す。,She will copy her friend's notebook.
捨てる,すてる,to throw away,N4,ここにゴミ捨てるべからず。,No dumping rubbish here!
社会,しゃかい,society; public,N4,暴力は社会のガンだ。,Violence is the cancer of our society.
社長,しゃちょう,company president,N4,社長は外出中です。,The president is out now.
謝る,あやまる,to apologize,N4,謝るしかない。,There is nothing to do but apologize.
寂しい,さびしい,lonely,N4,私も寂しいな。,I also miss him.
取り替える,とりかえる,to exchange,N4,雨戸を取り替えることにしたんだ。,I've decided to replace the shutters.
手袋,てぶくろ,glove,N4,手袋してる？,Are you wearing gloves?
手伝う,てつだう,to assist,N4,私は手伝うよ。,I'll help.
趣味,しゅみ,hobby,N4,彼は多趣味だ。,He has a lot of hobbies.
首,くび,neck,N4,おまえは首だ。,You're fired.
受ける,うける,to take a lesson or test,N4,ワクチンを受けるの？,Will you get vaccinated?
受付,うけつけ,receipt,N4,受付は二時半からです。,Registration starts at 2:30.
周り,まわり,surroundings,N4,僕は周りを見回した。,I looked around me.
拾う,ひろう,to pick up; to gather,N4,トムを拾うつもりだ。,I'm going to pick Tom up.
終わり,おわり,the end,N4,終わりはない。,It never ends.
習慣,しゅうかん,custom; manners,N4,習慣化しました。,It became a habit.
舟,ふね,ship,N4,舟は行方不明だ。,The boat is lost.
集める,あつめる,to collect something,N4,はがきを集める。,I collect postcards.
集る,あつまる,to gather,N4,,
住所,じゅうしょ,an address; a residence,N4,これが住所です。,Here's the address.
十分,じゅうぶん,enough,N4,もう十分よ！,Enough!
柔らかい,やわらかい,soft,N4,体柔らかいね。,Your body is soft.
柔道,じゅうどう,judo,N4,柔道を練習しています。,I'm practising judo.
出席,しゅっせきする,to attend,N4,出席します。,I will join it!
出発,しゅっぱつする,to depart,N4,早く出発しよう。,"Let's start early, shall we?"
準備,じゅんびする,to prepare,N4,準備できてる？,Are you ready?
女性,じょせい,woman,N4,色っぽい女性。,She is a fox.
勝つ,かつ,to win,N4,戦いに勝つ。,We will win the day.
召し上がる,めしあがる,(polite) to eat,N4,さあいらっしゃい、何を召し上がるか言いたまえ。,"Step right up, gents, and say what you'll have."
将来,しょうらい,future; prospects,N4,将来に備えよ。,Prepare yourself for the future.
小学校,しょうがっこう,elementary school,N4,君、小学校に行ってるの？,Do you go to an elementary school?
小説,しょうせつ,novel,N4,小説家になるよ。,I'll be a novelist.
小鳥,ことり,small bird,N4,彼は小鳥を狙った。,He aimed at the bird.
承知,しょうちする,to consent,N4,承知しました。,All right.
招待,しょうたいする,to invite,N4,招待された？,Were you invited?
消しゴム,けしゴム,eraser,N4,消しゴム返してよ。,Give me back my eraser.
焼く,やく,to bake; to grill,N4,やきもちを焼くなよ。,You shouldn't be jealous.
焼ける,やける,to burn; to be roasted,N4,焼けるように熱い。,It is broiling hot.
笑う,わらう,to laugh; to smile,N4,トムが笑う。,Tom smiles.
紹介,しょうかい,introduction,N4,紹介ありがとう。,Thank you for your referral.
上る,あがる,to rise,N4,月は東から上る。,The moon rises in the east.
乗り換える,のりかえる,to change between buses or trains,N4,乗り換えるのですか。,Do I have to change trains?
乗り物,のりもの,vehicle,N4,乗り物は子供向けである。,Rides in the cars are for kids.
場合,ばあい,situation,N4,それは極端な場合だ。,They are the extreme cases.
場所,ばしょ,location,N4,この場所に？,Just right here?
畳,たたみ,Japanese straw mat,N4,傘は畳んで。,Shut the umbrella.
飾る,かざる,to decorate,N4,私は部屋を花で飾るのが好きだ。,I like to adorn my room with flowers.
植える,うえる,to plant; to grow,N4,春は木を植える時期です。,Spring is the time to plant trees.
触る,さわる,to touch,N4,それに触るな。,Don't touch it.
食事,しょくじする,to have a meal,N4,食事ですよ。,Dinner's ready.
食料品,しょくりょうひん,groceries,N4,食料品買わなくちゃ。,I need to buy some groceries.
寝坊,ねぼう,sleeping in late,N4,私は寝坊した。,I overslept.
心,こころ,core; heart,N4,目は心の鏡。,The eye is the mirror of the soul.
心配,しんぱいする,to worry,N4,心配するな。,Don't worry about it!
新聞社,しんぶんしゃ,newspaper company,N4,どちらの新聞社にお勤めですか。,Which newspaper do you work for?
森,もり,forest,N4,彼は森で迷った。,He lost his way in the woods.
深い,ふかい,deep,N4,この湖は深い。,This lake is deep.
申し上げる,もうしあげる,(humble) to say; to tell,N4,反対申し上げるつもりは全然なかったのです。,I had no desire to say anything against you.
申す,もうす,(humble) to be called; to say,N4,,
